=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-3-4_6-0-37
====================================================================================
6:0:37 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
22:18:28 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7380.575684, 295.817261, 7456.432617>)
22:18:29 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7373.054199, 295.625885, 7462.706055>)
22:18:29 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7365.700195, 295.260071, 7467.001953>)
22:18:29 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7358.551270, 294.824890, 7470.295898>)
22:18:30 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7351.369629, 294.328949, 7473.252441>)
22:18:30 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7344.341309, 293.813934, 7475.812012>)
22:18:30 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7336.797363, 293.221588, 7478.470703>)
22:18:30 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7329.520020, 292.663849, 7481.046387>)
22:18:30 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7322.306641, 292.136017, 7483.615234>)
22:18:31 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7315.064941, 291.611053, 7486.143555>)
22:18:32 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7304.337402, 290.646637, 7487.066406>)
22:18:32 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7299.193848, 290.013947, 7486.097168>)
22:18:33 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7294.661133, 289.294952, 7483.868164>)
22:18:33 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7289.789063, 288.322083, 7479.935547>)
22:18:35 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7284.777832, 286.413605, 7467.085449>)
22:18:35 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7284.888184, 285.811554, 7460.803711>)
22:18:35 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7286.147949, 285.389679, 7454.786621>)
22:18:35 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7289.321289, 285.148590, 7447.815918>)
22:18:36 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7292.214355, 285.040527, 7442.256836>)
22:18:36 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7292.667480, 284.280731, 7431.952637>)
22:18:36 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7292.258301, 283.496674, 7422.847656>)
22:18:36 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7291.784180, 282.532196, 7412.931641>)
22:18:37 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7289.655762, 281.096375, 7402.139648>)
22:18:37 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7286.633789, 279.277893, 7390.608887>)
22:18:37 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7287.780762, 278.411804, 7381.494629>)
22:18:37 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7290.060547, 277.976440, 7374.053711>)
22:18:38 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7293.456543, 277.779358, 7366.723145>)
22:18:38 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7297.217773, 277.706787, 7359.608887>)
22:18:38 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7302.828125, 277.927673, 7352.387695>)
22:18:38 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7309.035645, 278.298370, 7345.622070>)
22:18:38 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7315.431152, 278.730865, 7338.820801>)
22:18:39 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7321.546387, 279.216522, 7332.398926>)
22:18:39 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7327.309570, 279.761963, 7326.314453>)
22:18:39 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7335.136230, 280.873901, 7323.662109>)
22:18:39 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7343.618164, 282.280090, 7323.953613>)
22:18:39 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7351.899902, 283.664886, 7325.063477>)
22:18:40 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7360.214355, 285.041321, 7326.839844>)
22:18:40 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7367.892578, 286.326141, 7329.178711>)
22:18:40 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7375.315918, 287.544647, 7332.529297>)
22:18:40 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7382.979492, 288.722748, 7336.694336>)
22:18:40 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7390.484375, 289.865234, 7341.759766>)
22:18:41 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7398.151367, 290.986725, 7347.436523>)
22:18:41 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7406.354004, 292.046753, 7353.582520>)
22:18:41 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7415.173828, 293.050781, 7360.253418>)
22:18:41 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7423.612793, 293.993774, 7367.405762>)
22:18:41 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7431.641113, 294.953003, 7374.432617>)
22:18:42 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7439.335449, 295.949036, 7381.291016>)
22:18:42 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7446.732910, 296.947876, 7387.890137>)
22:18:42 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7454.327637, 297.989746, 7394.625977>)
22:18:42 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7461.786133, 298.990082, 7401.313965>)
22:18:42 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7469.962402, 300.007324, 7408.561035>)
22:18:43 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7477.466797, 301.006866, 7415.246582>)
22:18:43 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7484.071289, 302.133850, 7421.177246>)
22:18:43 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7490.071777, 303.367035, 7426.478516>)
22:18:43 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7497.272461, 304.666168, 7428.801270>)
22:18:43 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7505.521484, 305.948303, 7428.226563>)
22:18:44 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7514.028809, 307.197205, 7426.565430>)
22:18:44 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7522.428223, 308.407745, 7424.668945>)
22:18:44 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7531.450684, 309.952332, 7426.890625>)
22:18:44 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7538.784180, 311.692719, 7434.481445>)
22:18:44 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7541.477539, 313.046356, 7443.950195>)
22:18:45 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7542.732910, 314.260345, 7452.903320>)
22:18:45 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7543.061035, 315.357513, 7461.644531>)
22:18:45 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7543.240234, 316.436340, 7470.002441>)
22:18:45 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7543.378906, 317.435944, 7477.996094>)
22:18:46 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7544.265625, 318.821014, 7483.086914>)
22:18:46 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7545.684082, 320.286743, 7489.342285>)
22:18:46 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7547.413086, 321.428284, 7496.360352>)
22:18:46 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7554.014160, 321.305176, 7521.792480>)
22:18:50 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7537.288086, 320.075165, 7532.661621>)
22:18:53 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7216.514160, 298.064819, 7608.464355>)
22:18:54 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7216.919434, 297.320068, 7609.101074>)
22:18:55 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7217.457520, 296.918121, 7609.478516>)
22:18:55 | "RagnarokHaze" (steamid=76561198120496196) teleported to crosshair (pos=<7209.915527, 299.183228, 7610.088867>)
22:19:14 | Player "RagnarokHaze" (steamId=76561198120496196) initiated disconnect process...
22:19:15 | Player "RagnarokHaze" (steamId=76561198120496196) disconnected early from server (EXIT NOW).
22:19:16 | Player "RagnarokHaze" (steamId=76561198120496196) disconnected from server.
